Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss 0,Baseline Loss 1,Baseline Loss 2,Baseline Loss 3,Baseline Loss 4,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-218.66882,114.04432,-57.597378,-486.6708,89.21739130434783,-152.73103,94.08417,-9.426559,-388.88483,83.91666666666667,-87.03044128417969,10066.64453125,9895.4697265625,9660.923828125,9367.48046875,9088.693359375,9088.693359375,2014,0.580420732498169,-152.73103,0
-175.82544,117.91475,-30.495956,-526.03235,93.45454545454545,-152.80603,110.76577,14.269852,-439.9211,87.43478260869566,-77.814208984375,9416.404296875,9271.4111328125,9158.626953125,9057.63671875,8960.3212890625,8960.3212890625,4025,1.5132579803466797,,1
-189.1975,114.35111,-0.11756134,-346.21585,105.65,-226.00835,108.25298,-55.928932,-471.23486,98.38095238095238,-108.99724578857422,15873.0751953125,15725.7119140625,15578.0712890625,15429.8193359375,15280.978515625,15280.978515625,6091,2.0950117111206055,,2
-240.28435,100.940506,-81.616554,-419.89423,102.23809523809524,-146.65521,92.600655,-2.6648254,-363.86038,93.81818181818181,-63.83344650268555,7166.19580078125,7078.65966796875,6993.44482421875,6910.357421875,6829.234375,6829.234375,8155,2.6795237064361572,,3
-165.63109,104.1845,-46.143345,-455.9736,100.52380952380952,-214.17435,125.57436,-45.20836,-543.3448,102.25,-89.08789825439453,12984.8662109375,12867.36328125,12749.4296875,12631.3447265625,12513.34375,12513.34375,10200,3.2639880180358887,,4
-162.66826,77.276115,-47.98155,-328.16492,102.65,-165.27072,101.33762,-35.542152,-478.19864,108.6842105263158,-60.48493576049805,7023.234375,6937.20068359375,6853.1904296875,6771.08251953125,6690.76904296875,6690.76904296875,12265,3.8460590839385986,,5
-176.60864,102.24241,-42.970318,-436.17886,107.45,-137.74323,73.02279,-43.252804,-352.52704,96.14285714285714,-47.4068603515625,3946.956298828125,3889.5166015625,3834.269287109375,3781.04052734375,3729.67626953125,3729.67626953125,14284,4.4428160190582275,,6
-166.54402,101.316795,-39.821396,-400.06525,105.4,-193.11006,98.91935,9.106186,-382.6729,107.42105263157895,-65.98207092285156,7504.5615234375,7427.4619140625,7350.181640625,7272.87109375,7195.6591796875,7195.6591796875,16325,5.032262802124023,,7
-180.4977,100.72542,-39.908733,-372.17902,106.52631578947368,-153.0926,82.15683,11.3983,-345.33478,97.47619047619048,-48.173606872558594,4504.79345703125,4449.23046875,4395.22119140625,4342.67236328125,4291.498046875,4291.498046875,18372,5.607844829559326,,8
-143.78098,61.848892,-58.3173,-299.11005,98.47619047619048,-147.1795,78.234505,-60.21203,-341.2467,111.66666666666667,-36.38955307006836,3138.720458984375,3099.720458984375,3062.240234375,3026.167724609375,2991.40087890625,2991.40087890625,20382,6.1886887550354,,9
-129.52711,69.96617,-47.10231,-324.217,91.36363636363636,-122.14792,99.13311,32.22745,-369.16785,93.9090909090909,-30.749034881591797,4663.482421875,4635.72705078125,4609.16650390625,4583.7080078125,4559.2705078125,4559.2705078125,22448,6.753655672073364,,10
-136.72849,60.29306,-0.79119873,-266.14108,112.61111111111111,-127.349365,76.98504,-49.912094,-423.60587,93.72727272727273,-30.100059509277344,3058.972412109375,3033.417236328125,3008.561279296875,2984.36962890625,2960.808349609375,2960.808349609375,24510,7.327119827270508,,11
-110.82887,65.57874,-1.7103348,-261.95087,100.71428571428571,-126.23895,75.225555,-47.76292,-357.95706,101.6,-26.420799255371094,2740.726318359375,2718.952392578125,2697.7578125,2677.116943359375,2657.004150390625,2657.004150390625,26542,7.911548852920532,,12
-124.57584,52.26239,-44.299244,-235.75645,97.47619047619048,-122.606636,59.558285,-63.53921,-316.9064,111.83333333333333,-20.83678436279297,1955.059814453125,1939.4111328125,1924.375732421875,1909.911865234375,1895.9814453125,1895.9814453125,28555,8.488711833953857,,13
-98.9104,43.841343,-5.983925,-215.3199,101.3,-130.74997,56.20755,-58.928993,-244.31673,107.73684210526316,-25.08980941772461,2124.048828125,2106.23388671875,2088.571044921875,2071.0771484375,2053.76806640625,2053.76806640625,30602,9.065036058425903,,14
-108.36632,49.246475,-38.556778,-244.58902,101.85,-126.72866,62.02475,-52.26147,-297.34454,107.42105263157895,-19.9116153717041,1858.411865234375,1845.1517333984375,1832.3221435546875,1819.8997802734375,1807.863525390625,1807.863525390625,32643,9.64156985282898,,15
-108.17208,36.40983,-38.261505,-173.53482,100.1,-121.26324,60.77724,-56.022797,-295.40167,114.0,-13.752642631530762,1592.8448486328125,1583.2935791015625,1574.144287109375,1565.37060546875,1556.94775390625,1556.94775390625,34695,10.222259998321533,,16
-93.98723,33.1279,0.27651978,-161.7816,102.45,-109.68859,42.030346,-36.68676,-234.3932,111.15789473684211,-5.003578186035156,976.6110229492188,974.273193359375,972.20263671875,970.3652954101562,968.7314453125,968.7314453125,36807,10.821984052658081,,17
-75.15936,36.672333,-8.0168915,-136.92401,110.10526315789474,-104.55025,35.058872,-42.247734,-168.96709,95.76190476190476,-12.79643726348877,793.8792724609375,788.1890869140625,782.5025634765625,776.831787109375,771.187744140625,771.187744140625,38818,11.409883975982666,,18
-92.44097,33.581337,-38.553978,-161.71448,100.9,-103.71718,67.69012,-10.429653,-350.5175,105.63157894736842,-4.09782600402832,1946.252197265625,1944.528076171875,1942.96484375,1941.5443115234375,1940.2510986328125,1940.2510986328125,40825,11.988590717315674,,19
-97.54164,90.79699,-6.7187347,-443.2934,113.05555555555556,-99.38054,64.77383,-38.056175,-330.2298,113.61111111111111,-0.8459670543670654,1634.8546142578125,1634.29052734375,1633.797607421875,1633.365478515625,1632.986328125,1632.986328125,42870,12.588407039642334,,20
-102.39098,41.590786,18.076847,-161.67928,120.6470588235294,-79.78794,22.544878,-12.43367,-132.2707,100.55,4.449582099914551,757.2904052734375,757.91259765625,758.4449462890625,758.8912353515625,759.2557983398438,759.2557983398438,44881,13.183801889419556,,21
-86.29907,29.259233,-35.60363,-167.31273,114.88888888888889,-96.15647,63.435223,-3.8801079,-278.64682,111.57894736842105,0.3872556686401367,1531.34228515625,1531.347900390625,1531.3543701171875,1531.36181640625,1531.369384765625,1531.369384765625,47001,13.80165410041809,,22
-67.99884,40.214306,11.651672,-145.14284,122.94117647058823,-95.99383,58.149147,8.304527,-260.12268,120.47058823529412,1.4522035121917725,1071.371826171875,1071.359130859375,1071.3480224609375,1071.338134765625,1071.32958984375,1071.32958984375,49049,14.428805828094482,,23
-82.07544,38.202915,-23.20156,-156.2992,126.5625,-70.25252,37.277992,-10.530777,-151.59796,102.3,8.980194091796875,808.2067260742188,808.215087890625,808.01025390625,807.6129150390625,807.0427856445312,807.0427856445312,51095,15.039845943450928,,24
-53.92734,41.320835,38.042168,-114.97336,192.72727272727272,-73.60292,57.978733,-14.066073,-254.99399,151.14285714285714,15.44813060760498,1606.1380615234375,1604.138671875,1601.5833740234375,1598.53662109375,1595.0570068359375,1595.0570068359375,53211,16.15347671508789,,25
-78.88761,48.25424,1.3997345,-185.28369,143.85714285714286,-61.6849,41.09526,16.429466,-119.6266,160.23076923076923,21.28174591064453,1492.9918212890625,1485.450927734375,1476.78369140625,1467.1351318359375,1456.639892578125,1456.639892578125,55294,16.845292806625366,,26
-54.713516,36.02238,2.65839,-108.803276,169.41666666666666,-67.08279,46.622044,-15.9767,-171.7327,152.21428571428572,16.25611686706543,1282.15966796875,1273.74755859375,1265.2850341796875,1256.8031005859375,1248.329833984375,1248.329833984375,57425,17.56725287437439,,27
-43.24341,39.401897,12.476013,-113.619736,183.27272727272728,-74.74369,51.050037,15.031063,-220.91988,139.66666666666666,11.28003978729248,1331.48486328125,1326.1202392578125,1321.007568359375,1316.130859375,1311.4765625,1311.4765625,59520,18.659803867340088,,28
-97.817314,81.67833,-0.68730545,-223.35643,201.0909090909091,-40.739502,30.008654,8.252922,-83.38856,139.13333333333333,21.327877044677734,1615.78076171875,1604.0076904296875,1591.5574951171875,1578.5450439453125,1565.0753173828125,1565.0753173828125,61607,19.452451705932617,,29
-101.79898,86.15767,11.858273,-255.12424,166.83333333333334,-65.07961,65.76928,8.07518,-201.47136,137.0,10.355717658996582,1599.2720947265625,1593.3245849609375,1587.7401123046875,1582.49072265625,1577.5498046875,1577.5498046875,63662,20.15699577331543,,30
-81.29735,69.40594,1.0854349,-237.59068,213.8,-60.650047,53.69346,30.767097,-157.91275,263.375,20.824880599975586,2135.882080078125,2120.86865234375,2104.876220703125,2088.069091796875,2070.5947265625,2070.5947265625,65769,21.82451105117798,,31
-65.86203,57.96998,6.0951996,-177.70142,227.30769230769232,-65.010796,47.317467,24.534084,-166.23047,211.7,14.820294380187988,1532.9400634765625,1520.57177734375,1508.477294921875,1496.6641845703125,1485.1380615234375,1485.1380615234375,67886,23.282002925872803,,32
