Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-234.30887,80.858406,-95.92837,-352.9175,1000.0,0,,,,,,,,,,,,
,,,,,999,-332.24716,1000,,,,,,,,,,
,,,,,1999,-297.99774,1000,,,,,,,,,,
,,,,,2999,-459.86713,1000,,,,,,,,,,
,,,,,3999,-392.74945,1000,,,,,,,,,,
,,,,,4999,-132.41968,1000,,,,,,,,,,
-234.02083,51.703728,-132.03058,-293.73773,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-258.3659,1000,,,,,,,,,,
,,,,,6999,-212.41275,1000,,,,,,,,,,
,,,,,7999,-229.86012,1000,,,,,,,,,,
,,,,,8999,-213.33244,1000,,,,,,,,,,
,,,,,9999,-295.96985,1000,,,,,,,,,,
-264.7896,94.49868,-152.59618,-508.5884,1000.0,10000,,,-0.3518601357936859,3.7394704818725586,0.4051932692527771,-0.01982859894633293,0.10484432429075241,0.10000000000000002,0.9701241850852966,0.0003,0.0003,0.09999000050008644
,,,,,10999,-190.80522,1000,,,,,,,,,,
,,,,,11000,,,-2.0979862213134766,2.3171467781066895,0.40811318159103394,1.4186136722564697,1.4792850017547607,0.09081058635989016,0.7585356831550598,0.0003,0.0003,0.09080202493769378
,,,,,11999,-203.2057,1000,,,,,,,,,,
,,,,,12000,,,-3.5385868549346924,2.506185531616211,0.6306717991828918,2.997184991836548,3.014765739440918,0.08262379801450925,0.6977047324180603,0.0003,0.0003,0.0826160377427781
,,,,,12999,-193.0959,1000,,,,,,,,,,
,,,,,13000,,,-5.082000255584717,1.472310185432434,0.670913815498352,4.39559268951416,4.317079544067383,0.07550475156205735,0.5696521997451782,0.0003,0.0003,0.07549819856993707
,,,,,13999,-212.06422,1000,,,,,,,,,,
,,,,,14000,,,-6.880001544952393,1.4269301891326904,0.6642085313796997,6.196653366088867,6.180300712585449,0.06928559758801137,0.5276378393173218,0.0003,0.0003,0.06927955467738656
,,,,,14999,98.85423,1000,,,,,,,,,,
