Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
16.651253,6.428134,30.430618,7.317541,18.8,0,,,,,,,,,,
,,,,,10,8.705648,11,,,,,,,,
,,,,,23,9.90243,13,,,,,,,,
,,,,,35,9.036527,12,,,,,,,,
,,,,,46,8.048379,11,,,,,,,,
,,,,,64,12.036025,18,,,,,,,,
,,,,,81,17.599888,17,,,,,,,,
,,,,,129,42.83681,48,,,,,,,,
,,,,,148,20.5496,19,,,,,,,,
,,,,,185,32.573265,37,,,,,,,,
,,,,,197,8.027006,12,,,,,,,,
,,,,,213,12.705557,16,,,,,,,,
,,,,,263,49.095398,50,,,,,,,,
,,,,,327,117.518196,64,,,,,,,,
,,,,,357,27.551394,30,,,,,,,,
,,,,,386,30.231436,29,,,,,,,,
,,,,,403,9.497078,17,,,,,,,,
,,,,,419,9.120156,16,,,,,,,,
,,,,,437,12.583976,18,,,,,,,,
,,,,,451,13.166756,14,,,,,,,,
,,,,,475,10.710351,24,,,,,,,,
,,,,,486,7.506649,11,,,,,,,,
,,,,,582,191.68275,96,,,,,,,,
,,,,,599,9.570756,17,,,,,,,,
,,,,,620,20.620174,21,,,,,,,,
,,,,,632,9.308181,12,,,,,,,,
,,,,,646,12.071047,14,,,,,,,,
,,,,,664,10.420833,18,,,,,,,,
,,,,,687,22.471403,23,,,,,,,,
,,,,,708,19.024214,21,,,,,,,,
,,,,,726,18.482357,18,,,,,,,,
,,,,,768,56.655773,42,,,,,,,,
,,,,,791,24.051,23,,,,,,,,
,,,,,812,21.478302,21,,,,,,,,
,,,,,825,9.964171,13,,,,,,,,
,,,,,839,8.400155,14,,,,,,,,
,,,,,859,19.532984,20,,,,,,,,
,,,,,882,27.267017,23,,,,,,,,
,,,,,898,12.268182,16,,,,,,,,
,,,,,913,14.008811,15,,,,,,,,
,,,,,928,12.310151,15,,,,,,,,
,,,,,944,14.7599,16,,,,,,,,
,,,,,969,11.778353,25,,,,,,,,
,,,,,988,15.892867,19,,,,,,,,
,,,,,1006,18.343975,18,,,,,,,,
,,,,,1017,9.401445,11,,,,,,,,
,,,,,1034,5.1913347,17,,,,,,,,
,,,,,1066,38.156807,32,,,,,,,,
,,,,,1081,9.750116,15,,,,,,,,
,,,,,1092,8.624612,11,,,,,,,,
,,,,,1121,13.408588,29,,,,,,,,
,,,,,1150,30.52078,29,,,,,,,,
,,,,,1167,18.648062,17,,,,,,,,
,,,,,1177,7.9587097,10,,,,,,,,
,,,,,1191,9.265058,14,,,,,,,,
,,,,,1220,15.113849,29,,,,,,,,
,,,,,1230,6.540926,10,,,,,,,,
,,,,,1247,10.701554,17,,,,,,,,
,,,,,1272,16.523941,25,,,,,,,,
,,,,,1286,13.314875,14,,,,,,,,
,,,,,1314,36.44357,28,,,,,,,,
,,,,,1329,7.4467087,15,,,,,,,,
,,,,,1349,15.568296,20,,,,,,,,
,,,,,1367,14.149296,18,,,,,,,,
,,,,,1399,33.17954,32,,,,,,,,
,,,,,1419,10.86515,20,,,,,,,,
,,,,,1430,7.462187,11,,,,,,,,
,,,,,1453,14.47859,23,,,,,,,,
,,,,,1498,40.73617,45,,,,,,,,
,,,,,1514,15.908951,16,,,,,,,,
,,,,,1523,6.0159044,9,,,,,,,,
,,,,,1540,10.003915,17,,,,,,,,
,,,,,1555,14.574009,15,,,,,,,,
,,,,,1570,15.475106,15,,,,,,,,
,,,,,1581,9.173065,11,,,,,,,,
,,,,,1602,15.640155,21,,,,,,,,
,,,,,1635,31.401554,33,,,,,,,,
,,,,,1662,22.98946,27,,,,,,,,
,,,,,1671,5.952442,9,,,,,,,,
,,,,,1681,8.100504,10,,,,,,,,
,,,,,1719,36.999752,38,,,,,,,,
,,,,,1735,13.294091,16,,,,,,,,
,,,,,1752,14.042432,17,,,,,,,,
,,,,,1763,7.9943204,11,,,,,,,,
,,,,,1786,27.684984,23,,,,,,,,
,,,,,1804,12.0132675,18,,,,,,,,
,,,,,1822,12.939384,18,,,,,,,,
,,,,,1833,7.7109985,11,,,,,,,,
,,,,,1855,18.684065,22,,,,,,,,
,,,,,1868,8.072882,13,,,,,,,,
,,,,,1880,10.30734,12,,,,,,,,
,,,,,1895,9.792153,15,,,,,,,,
,,,,,1924,12.379965,29,,,,,,,,
,,,,,1959,16.341612,35,,,,,,,,
,,,,,1968,5.9450846,9,,,,,,,,
,,,,,1981,8.177909,13,,,,,,,,
,,,,,2006,8.232424,25,,,,,,,,
,,,,,2015,7.1133556,9,,,,,,,,
,,,,,2029,11.301688,14,,,,,,,,
,,,,,2042,10.3758,13,,,,,,,,
,,,,,2077,37.806175,35,,,,,,,,
,,,,,2098,11.800293,21,,,,,,,,
,,,,,2124,13.43668,26,,,,,,,,
,,,,,2152,14.434188,28,,,,,,,,
,,,,,2180,15.690179,28,,,,,,,,
,,,,,2195,11.625987,15,,,,,,,,
,,,,,2210,8.958516,15,,,,,,,,
,,,,,2255,63.520885,45,,,,,,,,
,,,,,2285,15.588838,30,,,,,,,,
,,,,,2307,20.553944,22,,,,,,,,
,,,,,2320,12.026842,13,,,,,,,,
,,,,,2340,21.016048,20,,,,,,,,
,,,,,2366,20.25944,26,,,,,,,,
,,,,,2384,9.535504,18,,,,,,,,
,,,,,2407,18.686914,23,,,,,,,,
,,,,,2418,6.3991165,11,,,,,,,,
,,,,,2465,28.80595,47,,,,,,,,
,,,,,2493,25.973118,28,,,,,,,,
,,,,,2505,9.73001,12,,,,,,,,
,,,,,2514,6.823127,9,,,,,,,,
,,,,,2551,32.393353,37,,,,,,,,
,,,,,2572,11.493814,21,,,,,,,,
,,,,,2588,11.170676,16,,,,,,,,
,,,,,2613,19.06646,25,,,,,,,,
,,,,,2639,24.1315,26,,,,,,,,
,,,,,2657,18.419603,18,,,,,,,,
,,,,,2682,12.917618,25,,,,,,,,
,,,,,2699,7.7177043,17,,,,,,,,
,,,,,2709,6.7288575,10,,,,,,,,
,,,,,2744,45.09406,35,,,,,,,,
,,,,,2754,7.8942456,10,,,,,,,,
,,,,,2767,11.716445,13,,,,,,,,
,,,,,2793,10.85105,26,,,,,,,,
,,,,,2821,21.357521,28,,,,,,,,
,,,,,2844,14.421483,23,,,,,,,,
,,,,,2873,26.906399,29,,,,,,,,
