Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss 0,Baseline Loss 1,Baseline Loss 2,Baseline Loss 3,Baseline Loss 4,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-181.30072,100.86538,-58.297424,-400.43164,92.31818181818181,-138.56468,94.16609,28.409431,-393.54544,84.95833333333333,-2.2316901683807373,9315.2275390625,9154.8544921875,8937.328125,8668.2919921875,8414.7421875,8414.7421875,2039,0.5662391185760498,-138.56468,0
-223.12527,132.33969,-70.59801,-611.54065,97.47619047619048,-195.8669,127.12472,-66.415726,-558.87366,94.0,-2.7146341800689697,13884.8544921875,13685.439453125,13539.3388671875,13413.7666015625,13293.83203125,13293.83203125,4107,2.1096949577331543,,1
-143.30197,105.03872,-19.152512,-489.7838,103.25,-207.63358,104.81137,-41.173264,-379.28107,101.35,-2.532500982284546,11349.228515625,11230.2021484375,11110.984375,10991.716796875,10872.5947265625,10872.5947265625,6134,2.7914419174194336,,2
-138.3702,108.32187,38.301117,-359.65277,98.85714285714286,-227.56644,120.65243,-43.217903,-459.67084,102.6,-2.7104578018188477,14904.205078125,14764.931640625,14625.3310546875,14485.7294921875,14346.4052734375,14346.4052734375,8186,3.363136053085327,,3
-178.01208,84.19533,-21.884052,-321.0329,100.9047619047619,-174.95471,123.28142,-2.3642578,-375.94116,99.14285714285714,-2.0736889839172363,10356.2705078125,10245.765625,10137.185546875,10030.4375,9925.44140625,9925.44140625,10268,3.961613178253174,,4
-163.48178,98.19765,-33.577496,-329.60254,119.82352941176471,-225.4273,97.198265,-35.491898,-388.53766,118.55555555555556,-2.1062722206115723,10353.806640625,10235.5263671875,10118.0009765625,10001.318359375,9885.5556640625,9885.5556640625,12402,4.574934005737305,,5
-206.5384,159.30887,8.563705,-567.35516,132.5,-137.91489,121.12087,56.5129,-323.0365,202.5,-0.5409648418426514,4427.70068359375,4408.1201171875,4390.57666015625,4374.82470703125,4360.64794921875,4360.64794921875,14427,5.572995901107788,,6
-229.28389,160.68423,-7.753998,-506.46783,128.41176470588235,-233.09807,127.664055,-46.589584,-553.7758,135.875,-1.6216981410980225,9877.814453125,9804.7392578125,9729.935546875,9653.716796875,9576.3642578125,9576.3642578125,16601,6.275944948196411,,7
-295.09924,240.27147,14.56852,-719.01263,239.44444444444446,-170.39244,124.56176,4.057167,-364.63687,291.14285714285717,-0.2571839392185211,2946.024169921875,2937.885009765625,2930.797119140625,2924.61474609375,2919.214111328125,2919.214111328125,18639,8.035510063171387,,8
-278.1838,132.57178,-71.84363,-534.6085,168.58333333333334,-264.14227,141.4366,-46.926117,-448.41357,157.92307692307693,-1.5566082000732422,10658.271484375,10596.029296875,10529.40625,10459.025390625,10385.443359375,10385.443359375,20692,8.724952936172485,,9
-182.24936,113.003204,12.660416,-477.37372,148.42857142857142,-221.74928,122.486885,-1.4252853,-488.3799,143.13333333333333,-1.2832411527633667,7780.85400390625,7711.65966796875,7641.58740234375,7570.8515625,7499.64404296875,7499.64404296875,22839,9.40726900100708,,10
-288.3881,153.3768,-55.745766,-603.6173,176.66666666666666,-251.59222,124.846985,-38.706966,-524.20374,154.0,-1.4010523557662964,8325.2490234375,8245.8642578125,8165.79638671875,8085.2646484375,8004.45751953125,8004.45751953125,24841,10.802562952041626,,11
-194.82512,124.60601,-57.22323,-418.26508,141.86666666666667,-298.2751,150.53787,-56.855713,-678.47986,157.07142857142858,-1.4886096715927124,11629.0498046875,11521.0390625,11410.677734375,11298.46484375,11184.8388671875,11184.8388671875,27040,11.648088932037354,,12
-225.48787,105.21912,-66.27409,-424.03204,168.91666666666666,-262.70264,140.2116,-38.36912,-475.9305,156.53846153846155,-1.2466782331466675,9376.7333984375,9280.568359375,9185.427734375,9091.361328125,8998.4033203125,8998.4033203125,29075,12.347843885421753,,13
-286.29562,127.852264,-40.144432,-500.18646,158.23076923076923,-273.29242,141.53496,15.984718,-539.49915,148.71428571428572,-1.4552193880081177,9273.7744140625,9177.5712890625,9082.201171875,8987.7294921875,8894.21875,8894.21875,31157,13.034964084625244,,14
-168.71815,116.907166,-5.026306,-420.09686,154.07692307692307,-207.93596,125.911934,6.9921713,-391.6537,161.0,-0.8331303000450134,5675.51904296875,5630.1435546875,5587.423828125,5547.111328125,5508.98974609375,5508.98974609375,33250,13.740177869796753,,15
