Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,12975,-502.4911,94,,,,,,
,,,,,13107,-286.98196,132,,,,,,
,,,,,13189,-133.86394,82,,,,,,
,,,,,13271,-249.92856,82,,,,,,
,,,,,13412,-320.13904,141,,,,,,
,,,,,13486,-89.16905,74,,,,,,
,,,,,13593,-181.17622,107,,,,,,
,,,,,13687,-294.38693,94,,,,,,
,,,,,13761,-99.67944,74,,,,,,
,,,,,13867,-403.14914,106,,,,,,
,,,,,13953,-135.06267,86,,,,,,
,,,,,14075,-88.882195,122,,,,,,
,,,,,14165,-209.08742,90,,,,,,
,,,,,14229,-99.54584,64,,,,,,
,,,,,14330,-262.94287,101,,,,,,
,,,,,14406,-104.27273,76,,,,,,
,,,,,14515,-306.19962,109,,,,,,
,,,,,14600,-256.00745,85,,,,,,
,,,,,14736,-386.162,136,,,,,,
,,,,,14867,20.623108,131,,,,,,
,,,,,14955,-127.37221,88,,,,,,
,,,,,15069,-283.10992,114,,,,,,
,,,,,15136,-88.30899,67,,,,,,
,,,,,15271,-318.31616,135,,,,,,
,,,,,15381,-444.34122,110,,,,,,
,,,,,15489,-262.1427,108,,,,,,
,,,,,15598,-112.34955,109,,,,,,
,,,,,15664,-230.53925,66,,,,,,
,,,,,15768,-511.5946,104,,,,,,
,,,,,15835,-100.83126,67,,,,,,
,,,,,15913,-286.9102,78,,,,,,
,,,,,16003,-42.60676,90,,,,,,
,,,,,16093,-449.7194,90,,,,,,
,,,,,16185,-382.7686,92,,,,,,
,,,,,16257,-322.8708,72,,,,,,
,,,,,16406,-253.15031,149,,,,,,
,,,,,16523,-152.58148,117,,,,,,
,,,,,16603,-164.14993,80,,,,,,
,,,,,16747,-118.081894,144,,,,,,
,,,,,16869,-150.05688,122,,,,,,
,,,,,16939,-255.1932,70,,,,,,
,,,,,17034,-118.42629,95,,,,,,
,,,,,17119,-142.13608,85,,,,,,
,,,,,17203,-57.391964,84,,,,,,
,,,,,17292,-441.53854,89,,,,,,
,,,,,17427,-289.52,135,,,,,,
,,,,,17569,-160.38634,142,,,,,,
,,,,,17673,-162.55527,104,,,,,,
,,,,,17808,-512.4323,135,,,,,,
,,,,,17935,-440.93307,127,,,,,,
,,,,,18034,-107.01292,99,,,,,,
,,,,,18172,-384.82318,138,,,,,,
,,,,,18263,-220.75351,91,,,,,,
,,,,,18331,-325.29037,68,,,,,,
,,,,,18461,-293.00824,130,,,,,,
,,,,,18520,-134.25653,59,,,,,,
,,,,,18584,-67.539734,64,,,,,,
,,,,,18647,-113.97695,63,,,,,,
,,,,,18792,-429.19733,145,,,,,,
,,,,,18888,-288.2705,96,,,,,,
,,,,,18984,-369.06183,96,,,,,,
,,,,,19055,-87.971695,71,,,,,,
,,,,,19157,-21.744957,102,,,,,,
,,,,,19276,-436.8185,119,,,,,,
,,,,,19364,-142.84393,88,,,,,,
,,,,,19438,-98.73309,74,,,,,,
,,,,,19542,-395.4884,104,,,,,,
,,,,,19680,-124.89753,138,,,,,,
,,,,,19746,-174.18243,66,,,,,,
,,,,,19828,-218.60957,82,,,,,,
,,,,,19942,-37.122757,114,,,,,,
-1029.3586,385.60663,-508.67938,-1911.6876,131.8,20000,,,224.599609375,-0.044523708522319794,-0.9705791473388672,18.476119995117188,0.88,0.001
,,,,,20094,-73.96333,152,,,,,,
,,,,,20171,-105.9334,77,,,,,,
,,,,,20273,-325.4642,102,,,,,,
,,,,,20367,-97.0066,94,,,,,,
,,,,,20460,-122.27158,93,,,,,,
,,,,,20570,-340.69373,110,,,,,,
,,,,,20669,-30.379623,99,,,,,,
,,,,,20755,-270.5904,86,,,,,,
,,,,,20897,-329.99274,142,,,,,,
,,,,,20987,-276.13135,90,,,,,,
,,,,,21000,,,65.71665954589844,-3.1514406204223633,-3.9755969047546387,37.044944763183594,0.874,0.001
,,,,,21145,-261.4046,158,,,,,,
,,,,,21260,-226.33238,115,,,,,,
,,,,,21361,-97.835846,101,,,,,,
,,,,,21433,36.317062,72,,,,,,
