Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2978,13.567265,14,,,,,,,,
,,,,,3031,57.597305,53,,,,,,,,
,,,,,3065,24.260868,34,,,,,,,,
,,,,,3076,7.457505,11,,,,,,,,
,,,,,3094,15.123237,18,,,,,,,,
,,,,,3106,6.248478,12,,,,,,,,
,,,,,3120,9.266419,14,,,,,,,,
,,,,,3133,11.679566,13,,,,,,,,
,,,,,3144,8.651005,11,,,,,,,,
,,,,,3192,55.98179,48,,,,,,,,
,,,,,3212,17.799414,20,,,,,,,,
,,,,,3224,9.913356,12,,,,,,,,
,,,,,3259,27.755236,35,,,,,,,,
,,,,,3290,14.101537,31,,,,,,,,
,,,,,3321,18.996937,31,,,,,,,,
,,,,,3391,92.18007,70,,,,,,,,
,,,,,3408,12.076826,17,,,,,,,,
,,,,,3421,10.372064,13,,,,,,,,
,,,,,3450,28.912577,29,,,,,,,,
,,,,,3479,11.685497,29,,,,,,,,
,,,,,3509,25.717777,30,,,,,,,,
,,,,,3523,9.777864,14,,,,,,,,
,,,,,3544,18.381294,21,,,,,,,,
,,,,,3574,33.4722,30,,,,,,,,
,,,,,3591,14.08525,17,,,,,,,,
,,,,,3601,6.5778866,10,,,,,,,,
,,,,,3613,5.824215,12,,,,,,,,
,,,,,3631,9.272468,18,,,,,,,,
,,,,,3666,31.229366,35,,,,,,,,
,,,,,3682,12.422923,16,,,,,,,,
,,,,,3752,67.53865,70,,,,,,,,
,,,,,3768,9.123083,16,,,,,,,,
,,,,,3785,10.303181,17,,,,,,,,
,,,,,3796,8.584597,11,,,,,,,,
,,,,,3813,15.181377,17,,,,,,,,
,,,,,3842,36.867752,29,,,,,,,,
,,,,,3856,11.754679,14,,,,,,,,
,,,,,3870,12.87314,14,,,,,,,,
,,,,,3881,7.5424986,11,,,,,,,,
,,,,,3895,12.24764,14,,,,,,,,
,,,,,3917,8.842779,22,,,,,,,,
,,,,,3962,70.65929,45,,,,,,,,
,,,,,3981,15.420845,19,,,,,,,,
,,,,,4001,16.82179,20,,,,,,,,
,,,,,4018,12.661293,17,,,,,,,,
,,,,,4032,12.861174,14,,,,,,,,
,,,,,4059,29.027895,27,,,,,,,,
,,,,,4074,12.599446,15,,,,,,,,
,,,,,4096,19.176813,22,,,,,,,,
,,,,,4108,8.180557,12,,,,,,,,
,,,,,4127,16.236588,19,,,,,,,,
,,,,,4147,10.2173,20,,,,,,,,
,,,,,4161,8.999521,14,,,,,,,,
,,,,,4181,12.898027,20,,,,,,,,
,,,,,4193,9.035232,12,,,,,,,,
,,,,,4212,18.673655,19,,,,,,,,
,,,,,4228,9.578857,16,,,,,,,,
,,,,,4263,30.252487,35,,,,,,,,
,,,,,4279,9.512269,16,,,,,,,,
,,,,,4306,15.656156,27,,,,,,,,
,,,,,4322,15.469738,16,,,,,,,,
,,,,,4338,8.644526,16,,,,,,,,
,,,,,4351,8.725062,13,,,,,,,,
,,,,,4372,13.014958,21,,,,,,,,
,,,,,4398,17.083117,26,,,,,,,,
,,,,,4420,13.226078,22,,,,,,,,
,,,,,4448,31.836508,28,,,,,,,,
,,,,,4466,17.280603,18,,,,,,,,
,,,,,4484,10.898734,18,,,,,,,,
,,,,,4512,26.052458,28,,,,,,,,
,,,,,4558,76.28786,46,,,,,,,,
,,,,,4592,34.607418,34,,,,,,,,
,,,,,4613,17.862604,21,,,,,,,,
,,,,,4625,9.101501,12,,,,,,,,
,,,,,4722,83.890755,97,,,,,,,,
,,,,,4748,17.762537,26,,,,,,,,
,,,,,4784,44.990974,36,,,,,,,,
,,,,,4813,26.246845,29,,,,,,,,
,,,,,4827,11.076099,14,,,,,,,,
,,,,,4848,18.254251,21,,,,,,,,
,,,,,4858,7.6066594,10,,,,,,,,
,,,,,4879,17.390806,21,,,,,,,,
,,,,,4893,9.789539,14,,,,,,,,
,,,,,4903,6.052827,10,,,,,,,,
,,,,,4913,8.31005,10,,,,,,,,
,,,,,4933,21.359632,20,,,,,,,,
,,,,,4951,18.671356,18,,,,,,,,
,,,,,4999,60.055206,48,,,,,,,,
17.405308,7.7953734,38.919304,9.22367,20.4,5000,,,,,,,,,,
,,,,,5024,21.308619,25,,,,,,,,
,,,,,5035,9.146644,11,,,,,,,,
,,,,,5052,13.319459,17,,,,,,,,
,,,,,5087,45.214764,35,,,,,,,,
,,,,,5099,10.574237,12,,,,,,,,
,,,,,5119,12.805458,20,,,,,,,,
,,,,,5134,13.962594,15,,,,,,,,
