Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3000,,,0.02845899388194084,2.100961923599243,2.114643096923828,0.21156755089759827,0.91,0.0005
,,,,,3024,34.0,34,,,,,,
,,,,,3045,21.0,21,,,,,,
,,,,,3069,24.0,24,,,,,,
,,,,,3091,22.0,22,,,,,,
,,,,,3138,47.0,47,,,,,,
,,,,,3181,43.0,43,,,,,,
,,,,,3204,23.0,23,,,,,,
,,,,,3252,48.0,48,,,,,,
,,,,,3273,21.0,21,,,,,,
,,,,,3303,30.0,30,,,,,,
,,,,,3314,11.0,11,,,,,,
,,,,,3368,54.0,54,,,,,,
,,,,,3388,20.0,20,,,,,,
,,,,,3416,28.0,28,,,,,,
,,,,,3431,15.0,15,,,,,,
,,,,,3452,21.0,21,,,,,,
,,,,,3470,18.0,18,,,,,,
,,,,,3512,42.0,42,,,,,,
,,,,,3529,17.0,17,,,,,,
,,,,,3541,12.0,12,,,,,,
,,,,,3564,23.0,23,,,,,,
,,,,,3585,21.0,21,,,,,,
,,,,,3599,14.0,14,,,,,,
,,,,,3618,19.0,19,,,,,,
,,,,,3633,15.0,15,,,,,,
,,,,,3646,13.0,13,,,,,,
,,,,,3667,21.0,21,,,,,,
,,,,,3704,37.0,37,,,,,,
,,,,,3728,24.0,24,,,,,,
,,,,,3742,14.0,14,,,,,,
,,,,,3755,13.0,13,,,,,,
,,,,,3768,13.0,13,,,,,,
,,,,,3808,40.0,40,,,,,,
,,,,,3823,15.0,15,,,,,,
,,,,,3835,12.0,12,,,,,,
,,,,,3855,20.0,20,,,,,,
,,,,,3877,22.0,22,,,,,,
,,,,,3908,31.0,31,,,,,,
,,,,,3930,22.0,22,,,,,,
,,,,,3940,10.0,10,,,,,,
,,,,,3955,15.0,15,,,,,,
,,,,,3993,38.0,38,,,,,,
,,,,,4000,,,0.07790690660476685,2.9938273429870605,3.039604663848877,0.4305093288421631,0.88,0.0005
,,,,,4003,10.0,10,,,,,,
,,,,,4026,23.0,23,,,,,,
,,,,,4045,19.0,19,,,,,,
,,,,,4072,27.0,27,,,,,,
,,,,,4142,70.0,70,,,,,,
,,,,,4170,28.0,28,,,,,,
,,,,,4198,28.0,28,,,,,,
,,,,,4213,15.0,15,,,,,,
,,,,,4229,16.0,16,,,,,,
,,,,,4262,33.0,33,,,,,,
,,,,,4283,21.0,21,,,,,,
,,,,,4313,30.0,30,,,,,,
,,,,,4325,12.0,12,,,,,,
,,,,,4335,10.0,10,,,,,,
,,,,,4372,37.0,37,,,,,,
,,,,,4398,26.0,26,,,,,,
,,,,,4422,24.0,24,,,,,,
,,,,,4438,16.0,16,,,,,,
,,,,,4456,18.0,18,,,,,,
,,,,,4477,21.0,21,,,,,,
,,,,,4508,31.0,31,,,,,,
,,,,,4533,25.0,25,,,,,,
,,,,,4584,51.0,51,,,,,,
,,,,,4618,34.0,34,,,,,,
,,,,,4704,86.0,86,,,,,,
,,,,,4733,29.0,29,,,,,,
,,,,,4761,28.0,28,,,,,,
,,,,,4824,63.0,63,,,,,,
,,,,,4837,13.0,13,,,,,,
,,,,,4860,23.0,23,,,,,,
,,,,,4933,73.0,73,,,,,,
187.9,69.63254,386.0,138.0,187.9,5000,,,0.07289134711027145,3.963225841522217,3.9520106315612793,0.28822678327560425,0.85,0.0005
,,,,,5053,120.0,120,,,,,,
,,,,,5080,27.0,27,,,,,,
,,,,,5098,18.0,18,,,,,,
,,,,,5147,49.0,49,,,,,,
,,,,,5157,10.0,10,,,,,,
,,,,,5176,19.0,19,,,,,,
,,,,,5198,22.0,22,,,,,,
,,,,,5215,17.0,17,,,,,,
,,,,,5331,116.0,116,,,,,,
,,,,,5355,24.0,24,,,,,,
,,,,,5394,39.0,39,,,,,,
,,,,,5417,23.0,23,,,,,,
,,,,,5465,48.0,48,,,,,,
,,,,,5512,47.0,47,,,,,,
,,,,,5543,31.0,31,,,,,,
,,,,,5611,68.0,68,,,,,,
,,,,,5625,14.0,14,,,,,,
,,,,,5651,26.0,26,,,,,,
,,,,,5704,53.0,53,,,,,,
,,,,,5728,24.0,24,,,,,,
,,,,,5744,16.0,16,,,,,,
,,,,,5761,17.0,17,,,,,,
,,,,,5776,15.0,15,,,,,,
,,,,,5813,37.0,37,,,,,,
,,,,,5860,47.0,47,,,,,,
,,,,,5904,44.0,44,,,,,,
,,,,,5926,22.0,22,,,,,,
,,,,,5959,33.0,33,,,,,,
,,,,,5998,39.0,39,,,,,,
,,,,,6000,,,0.09011611342430115,4.80963134765625,4.778858661651611,0.27686670422554016,0.82,0.0005
,,,,,6021,23.0,23,,,,,,
,,,,,6047,26.0,26,,,,,,
,,,,,6103,56.0,56,,,,,,
,,,,,6148,45.0,45,,,,,,
,,,,,6163,15.0,15,,,,,,
,,,,,6188,25.0,25,,,,,,
,,,,,6210,22.0,22,,,,,,
,,,,,6229,19.0,19,,,,,,
,,,,,6254,25.0,25,,,,,,
,,,,,6291,37.0,37,,,,,,
,,,,,6307,16.0,16,,,,,,
,,,,,6327,20.0,20,,,,,,
,,,,,6339,12.0,12,,,,,,
,,,,,6367,28.0,28,,,,,,
,,,,,6391,24.0,24,,,,,,
,,,,,6407,16.0,16,,,,,,
,,,,,6444,37.0,37,,,,,,
,,,,,6480,36.0,36,,,,,,
,,,,,6505,25.0,25,,,,,,
,,,,,6544,39.0,39,,,,,,
,,,,,6570,26.0,26,,,,,,
,,,,,6586,16.0,16,,,,,,
,,,,,6663,77.0,77,,,,,,
,,,,,6677,14.0,14,,,,,,
,,,,,6697,20.0,20,,,,,,
,,,,,6718,21.0,21,,,,,,
,,,,,6787,69.0,69,,,,,,
,,,,,6821,34.0,34,,,,,,
,,,,,6835,14.0,14,,,,,,
,,,,,6851,16.0,16,,,,,,
,,,,,6871,20.0,20,,,,,,
,,,,,6892,21.0,21,,,,,,
,,,,,6922,30.0,30,,,,,,
,,,,,6937,15.0,15,,,,,,
,,,,,6949,12.0,12,,,,,,
,,,,,6977,28.0,28,,,,,,
,,,,,6999,22.0,22,,,,,,
,,,,,7000,,,0.07328248023986816,5.60993766784668,5.602663993835449,0.46575573086738586,0.79,0.0005
,,,,,7034,35.0,35,,,,,,
,,,,,7080,46.0,46,,,,,,
,,,,,7110,30.0,30,,,,,,
,,,,,7124,14.0,14,,,,,,
,,,,,7145,21.0,21,,,,,,
,,,,,7161,16.0,16,,,,,,
,,,,,7231,70.0,70,,,,,,
,,,,,7249,18.0,18,,,,,,
,,,,,7265,16.0,16,,,,,,
,,,,,7281,16.0,16,,,,,,
,,,,,7302,21.0,21,,,,,,
,,,,,7360,58.0,58,,,,,,
,,,,,7404,44.0,44,,,,,,
,,,,,7427,23.0,23,,,,,,
,,,,,7472,45.0,45,,,,,,
253.3,48.129097,349.0,204.0,253.3,7500,,,0.06951918452978134,6.3536057472229,6.398801803588867,0.576678454875946,0.775,0.0005
,,,,,7525,53.0,53,,,,,,
,,,,,7545,20.0,20,,,,,,
,,,,,7596,51.0,51,,,,,,
,,,,,7626,30.0,30,,,,,,
,,,,,7664,38.0,38,,,,,,
,,,,,7711,47.0,47,,,,,,
,,,,,7726,15.0,15,,,,,,
,,,,,7767,41.0,41,,,,,,
,,,,,7787,20.0,20,,,,,,
,,,,,7819,32.0,32,,,,,,
,,,,,7873,54.0,54,,,,,,
,,,,,7900,27.0,27,,,,,,
,,,,,7912,12.0,12,,,,,,
,,,,,7957,45.0,45,,,,,,
,,,,,7998,41.0,41,,,,,,
,,,,,8000,,,0.10486351698637009,6.542546272277832,6.551568984985352,0.35316723585128784,0.76,0.0005
,,,,,8021,23.0,23,,,,,,
,,,,,8048,27.0,27,,,,,,
,,,,,8077,29.0,29,,,,,,
,,,,,8117,40.0,40,,,,,,
,,,,,8144,27.0,27,,,,,,
,,,,,8163,19.0,19,,,,,,
,,,,,8190,27.0,27,,,,,,
,,,,,8229,39.0,39,,,,,,
,,,,,8244,15.0,15,,,,,,
,,,,,8294,50.0,50,,,,,,
,,,,,8325,31.0,31,,,,,,
,,,,,8345,20.0,20,,,,,,
,,,,,8389,44.0,44,,,,,,
,,,,,8457,68.0,68,,,,,,
,,,,,8481,24.0,24,,,,,,
,,,,,8509,28.0,28,,,,,,
,,,,,8543,34.0,34,,,,,,
,,,,,8563,20.0,20,,,,,,
,,,,,8607,44.0,44,,,,,,
,,,,,8634,27.0,27,,,,,,
,,,,,8657,23.0,23,,,,,,
,,,,,8670,13.0,13,,,,,,
,,,,,8699,29.0,29,,,,,,
,,,,,8715,16.0,16,,,,,,
,,,,,8774,59.0,59,,,,,,
,,,,,8797,23.0,23,,,,,,
,,,,,8810,13.0,13,,,,,,
,,,,,8844,34.0,34,,,,,,
,,,,,8871,27.0,27,,,,,,
,,,,,8886,15.0,15,,,,,,
,,,,,8950,64.0,64,,,,,,
,,,,,8996,46.0,46,,,,,,
,,,,,9000,,,0.10820085555315018,7.509154319763184,7.472197532653809,0.8565036058425903,0.73,0.0005
,,,,,9011,15.0,15,,,,,,
,,,,,9032,21.0,21,,,,,,
,,,,,9043,11.0,11,,,,,,
,,,,,9067,24.0,24,,,,,,
,,,,,9107,40.0,40,,,,,,
,,,,,9130,23.0,23,,,,,,
,,,,,9174,44.0,44,,,,,,
,,,,,9197,23.0,23,,,,,,
,,,,,9214,17.0,17,,,,,,
,,,,,9256,42.0,42,,,,,,
,,,,,9302,46.0,46,,,,,,
,,,,,9334,32.0,32,,,,,,
,,,,,9407,73.0,73,,,,,,
,,,,,9439,32.0,32,,,,,,
,,,,,9489,50.0,50,,,,,,
,,,,,9556,67.0,67,,,,,,
,,,,,9619,63.0,63,,,,,,
,,,,,9644,25.0,25,,,,,,
,,,,,9663,19.0,19,,,,,,
,,,,,9693,30.0,30,,,,,,
,,,,,9780,87.0,87,,,,,,
,,,,,9816,36.0,36,,,,,,
,,,,,9862,46.0,46,,,,,,
,,,,,9887,25.0,25,,,,,,
,,,,,9922,35.0,35,,,,,,
,,,,,9946,24.0,24,,,,,,
,,,,,9962,16.0,16,,,,,,
,,,,,9981,19.0,19,,,,,,
225.2,35.201702,297.0,182.0,225.2,10000,,,0.05578790232539177,7.973494529724121,7.904837608337402,1.1575161218643188,0.7,0.0005
,,,,,10084,103.0,103,,,,,,
,,,,,10112,28.0,28,,,,,,
,,,,,10152,40.0,40,,,,,,
,,,,,10193,41.0,41,,,,,,
,,,,,10232,39.0,39,,,,,,
