Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2856,12.851606,14,,,,,,,,
,,,,,2878,10.758556,22,,,,,,,,
,,,,,2913,8.732241,35,,,,,,,,
,,,,,2968,87.982605,55,,,,,,,,
,,,,,2989,10.370376,21,,,,,,,,
,,,,,3008,12.840395,19,,,,,,,,
,,,,,3027,10.476473,19,,,,,,,,
,,,,,3043,14.597148,16,,,,,,,,
,,,,,3072,14.029073,29,,,,,,,,
,,,,,3093,11.329461,21,,,,,,,,
,,,,,3128,18.848932,35,,,,,,,,
,,,,,3148,22.671495,20,,,,,,,,
,,,,,3175,10.964146,27,,,,,,,,
,,,,,3206,32.96834,31,,,,,,,,
,,,,,3233,32.847855,27,,,,,,,,
,,,,,3251,18.000704,18,,,,,,,,
,,,,,3286,12.458503,35,,,,,,,,
,,,,,3304,16.017208,18,,,,,,,,
,,,,,3318,11.485817,14,,,,,,,,
,,,,,3333,14.2068815,15,,,,,,,,
,,,,,3365,26.452234,32,,,,,,,,
,,,,,3391,15.550513,26,,,,,,,,
,,,,,3415,12.392912,24,,,,,,,,
,,,,,3433,10.5811,18,,,,,,,,
,,,,,3477,54.548824,44,,,,,,,,
,,,,,3502,23.542528,25,,,,,,,,
,,,,,3525,19.870483,23,,,,,,,,
,,,,,3541,9.020339,16,,,,,,,,
,,,,,3560,11.84695,19,,,,,,,,
,,,,,3583,10.6221075,23,,,,,,,,
,,,,,3596,8.286035,13,,,,,,,,
,,,,,3607,8.1587105,11,,,,,,,,
,,,,,3625,18.142477,18,,,,,,,,
,,,,,3635,7.5899677,10,,,,,,,,
,,,,,3653,13.251075,18,,,,,,,,
,,,,,3662,5.029809,9,,,,,,,,
,,,,,3679,11.662586,17,,,,,,,,
,,,,,3694,14.239084,15,,,,,,,,
,,,,,3711,8.708591,17,,,,,,,,
,,,,,3735,14.390952,24,,,,,,,,
,,,,,3759,19.347458,24,,,,,,,,
,,,,,3780,12.059187,21,,,,,,,,
,,,,,3791,8.052693,11,,,,,,,,
,,,,,3807,8.885491,16,,,,,,,,
,,,,,3827,8.936184,20,,,,,,,,
,,,,,3839,5.4161735,12,,,,,,,,
,,,,,3859,15.5351925,20,,,,,,,,
,,,,,3874,12.566208,15,,,,,,,,
,,,,,3892,14.497028,18,,,,,,,,
,,,,,3904,9.077725,12,,,,,,,,
,,,,,3923,12.552836,19,,,,,,,,
,,,,,4035,176.25136,112,,,,,,,,
,,,,,4060,18.469759,25,,,,,,,,
,,,,,4073,8.337917,13,,,,,,,,
,,,,,4087,9.896637,14,,,,,,,,
,,,,,4103,14.26443,16,,,,,,,,
,,,,,4113,8.3554945,10,,,,,,,,
,,,,,4127,9.212371,14,,,,,,,,
,,,,,4149,20.300852,22,,,,,,,,
,,,,,4209,111.11017,60,,,,,,,,
,,,,,4252,41.819504,43,,,,,,,,
,,,,,4268,14.844875,16,,,,,,,,
,,,,,4278,6.623559,10,,,,,,,,
,,,,,4321,65.31163,43,,,,,,,,
,,,,,4343,17.031641,22,,,,,,,,
,,,,,4368,15.790441,25,,,,,,,,
,,,,,4380,7.980482,12,,,,,,,,
,,,,,4401,21.290674,21,,,,,,,,
,,,,,4423,23.534431,22,,,,,,,,
,,,,,4452,12.839272,29,,,,,,,,
,,,,,4483,29.228144,31,,,,,,,,
,,,,,4497,12.292761,14,,,,,,,,
,,,,,4516,11.902705,19,,,,,,,,
,,,,,4540,27.712734,24,,,,,,,,
,,,,,4571,25.721329,31,,,,,,,,
,,,,,4586,11.991642,15,,,,,,,,
,,,,,4599,10.972506,13,,,,,,,,
,,,,,4618,16.025412,19,,,,,,,,
,,,,,4640,14.843529,22,,,,,,,,
,,,,,4650,7.0480504,10,,,,,,,,
,,,,,4662,10.665474,12,,,,,,,,
,,,,,4672,6.2668896,10,,,,,,,,
,,,,,4688,15.503934,16,,,,,,,,
,,,,,4701,8.903839,13,,,,,,,,
,,,,,4732,13.589928,31,,,,,,,,
,,,,,4748,15.7982855,16,,,,,,,,
,,,,,4765,6.8222346,17,,,,,,,,
,,,,,4794,21.79269,29,,,,,,,,
,,,,,4814,9.790649,20,,,,,,,,
,,,,,4845,41.925404,31,,,,,,,,
,,,,,4864,16.827782,19,,,,,,,,
,,,,,4874,7.4691153,10,,,,,,,,
,,,,,4892,14.936098,18,,,,,,,,
,,,,,4909,14.952192,17,,,,,,,,
,,,,,4938,22.708261,29,,,,,,,,
