Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss 0,Baseline Loss 1,Baseline Loss 2,Baseline Loss 3,Baseline Loss 4,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-174.22797,77.706604,-81.058624,-334.0329,83.4,-221.51862,107.59587,-92.02274,-430.89032,90.1304347826087,-53.205726623535156,17769.142578125,17538.55859375,17215.1015625,16808.98046875,16415.013671875,16415.013671875,2073,0.5882878303527832,-221.51862,0
-166.46974,84.30429,-28.146938,-374.48474,84.0,-160.23096,81.315414,-30.612549,-326.06506,83.375,-38.14866256713867,9477.4296875,9311.27734375,9182.3486328125,9068.1220703125,8959.087890625,8959.087890625,4074,1.4689338207244873,,1
-117.57069,51.94839,-14.735367,-233.6773,89.73913043478261,-152.8102,84.095184,-57.79251,-365.91364,94.27272727272727,-30.71766471862793,7463.65478515625,7368.3369140625,7273.80810546875,7179.99951171875,7086.9326171875,7086.9326171875,6148,2.020673990249634,,2
-158.2821,65.55178,-47.544582,-326.51797,90.08695652173913,-159.27383,84.344574,5.903206,-380.47034,87.6086956521739,-33.097660064697266,8126.55810546875,8029.263671875,7932.58642578125,7836.62060546875,7741.4443359375,7741.4443359375,8163,2.552077054977417,,3
-151.71588,89.5435,-59.96067,-394.26086,86.0,-145.00783,70.99596,-55.997856,-383.27722,87.69565217391305,-26.957904815673828,5477.71142578125,5398.716796875,5321.30810546875,5245.41357421875,5170.96875,5170.96875,10180,3.078237771987915,,4
-116.20175,49.87826,7.5858,-219.71921,91.0,-123.62678,42.16173,-52.075104,-220.2164,80.48,-23.133258819580078,3424.1064453125,3358.808837890625,3295.08447265625,3232.849609375,3172.030517578125,3172.030517578125,12192,3.6005659103393555,,5
-140.76108,54.987164,-45.073162,-280.9995,91.0909090909091,-125.342804,35.368065,-55.34147,-208.91339,89.0,-19.51424217224121,2510.666259765625,2459.82470703125,2410.51806640625,2362.651123046875,2316.138671875,2316.138671875,14239,4.137037038803101,,6
-116.66961,48.99961,-42.53666,-292.19333,81.16,-144.99335,112.45614,22.876484,-449.3683,92.77272727272727,-21.859983444213867,7620.35888671875,7556.12939453125,7491.796875,7427.494140625,7363.34130859375,7363.34130859375,16280,4.665920972824097,,7
-107.18389,56.18892,24.138138,-215.21555,86.58333333333333,-130.62624,58.11164,-2.1159668,-250.43486,84.5,-20.220518112182617,3849.19921875,3795.2734375,3742.361083984375,3690.44384765625,3639.50244140625,3639.50244140625,18308,5.217126846313477,,8
-120.05713,77.70127,-5.3335266,-343.57568,95.27272727272727,-132.23354,72.58493,-17.093079,-387.4817,94.4090909090909,-16.298526763916016,3704.473388671875,3661.2060546875,3619.148193359375,3578.23974609375,3538.426513671875,3538.426513671875,20385,5.786703824996948,,9
